HOLIDAY_ID,START_DATE,END_DATE,HOLIDAY_NAME,CREATION_DATE,CREATED_BY,LAST_UPDATE_DATE,LAST_UPDATED_BY
1,01/14/2022,01/14/2022,Makara Sankranthi,01/01/2022,1,01/14/2022,1
2,01/26/2022,01/26/2022,Republic Day,01/01/2022,1,01/14/2022,1
3,03/01/2022,03/01/2022,Maha Shivarathri,01/01/2022,1,01/14/2022,1
4,03/18/2022,03/18/2022,Holi,01/01/2022,1,01/14/2022,1
5,05/03/2022,05/03/2022,Ramzaan,01/01/2022,1,01/14/2022,1
6,06/02/2022,06/02/2022,Telangana Formation Day,01/01/2022,1,01/14/2022,1
7,08/15/2022,08/15/2022,Independence Day,01/01/2022,1,01/14/2022,1
8,08/31/2022,08/31/2022,Ganesh Chaturthi,01/01/2022,1,01/14/2022,1
9,10/05/2022,10/05/2022,Dussehra,01/01/2022,1,01/14/2022,1
10,10/24/2022,10/24/2022,Diwali,01/01/2022,1,01/14/2022,1
